_date,total_views,unique_views
2021-06-29,62,2
2021-06-30,35,1
2021-07-05,1,1
2021-07-06,1,1
2021-07-13,8,5
2021-07-15,2,2
2021-07-16,3,3
2021-07-19,2,2
2021-07-20,2,1
2021-07-21,1,1
2021-07-22,2,2
2021-07-23,5,2
2021-07-27,1,1
2021-07-29,6,4
2021-07-30,2,2
2021-08-02,1,1
2021-08-03,1,1
2021-08-04,4,4
2021-08-05,2,2
2021-08-06,4,4
2021-08-09,11,5
2021-08-10,2,2
2021-08-12,1,1
2021-08-13,3,1
2021-08-16,1,1
2021-08-17,4,1
2021-08-18,7,3
2021-08-19,1,1
2021-08-20,2,2
2021-08-23,7,1
2021-08-25,1,1
2021-08-26,1,1
2021-08-27,2,2
2021-09-03,1,1
2021-09-09,2,1
2021-09-11,17,2
2021-09-13,4,1
2021-09-15,1,1
2021-09-20,1,1
2021-09-21,6,2
2021-09-22,1,1
2021-09-24,3,2
2021-10-08,1,1
2021-10-09,8,1
2021-10-11,1,1
2021-10-16,1,1
2021-10-21,4,1
2021-10-25,3,1
2021-10-29,1,1
2021-11-03,1,1
2021-11-08,8,1
2021-11-09,13,1
2021-11-11,1,1
2021-11-24,1,1
2021-12-05,1,1
2021-12-18,3,1
2021-12-27,12,1
2021-12-29,3,1
2022-01-01,7,1
2022-01-02,28,1
2022-01-04,9,1
2022-01-05,3,2
2022-01-25,3,1
2022-02-16,1,1
2022-02-23,13,3
2022-03-01,8,1
2022-03-05,1,1
